url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",298,224,339,309,298,224,309,339
https://zenodo.org/records/17478160,"""Haase, Robert""",11,7,146,136,11,7,136,146
https://zenodo.org/records/17422917,"""Haase, Robert""",301,244,392,384,301,244,384,392
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",386,376,99,90,386,376,90,99
https://zenodo.org/records/17203260,"""Haase, Robert""",517,456,427,410,319,282,369,383
https://zenodo.org/records/17186869,"""Haase, Robert""",474,414,636,627,359,316,518,524
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",27,27,219,208,27,27,208,219
https://zenodo.org/records/17158643,"""Welz, Oliver""",152,112,200,190,152,112,190,200
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",205,186,169,162,205,186,162,169
https://zenodo.org/records/17116758,"""Haase, Robert""",464,407,928,897,464,407,897,928
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",664,582,562,543,664,582,543,562
https://zenodo.org/records/17102027,"""Haase, Robert""",304,220,244,231,304,220,231,244
https://zenodo.org/records/17085991,"""Haase, Robert""",940,786,942,893,560,444,680,728
https://zenodo.org/records/17053832,"""Haase, Robert""",313,232,402,395,313,232,395,402
https://zenodo.org/records/17017890,"""Haase, Robert""",176,157,259,255,176,157,255,259
https://zenodo.org/records/16894343,"""Haase, Robert""",126,99,153,140,126,99,140,153
https://zenodo.org/records/15858127,"""Haase, Robert""",14296,13573,2413,2274,3575,3338,944,1046
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",136,134,283,263,135,133,260,277
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",252,224,174,159,252,224,159,174
https://zenodo.org/records/15735577,"""Haase, Robert""",788,601,904,820,788,601,820,904
https://zenodo.org/records/15706181,"""Haase, Robert""",758,675,428,409,490,422,310,325
https://zenodo.org/records/15699459,"""Haase, Robert""",1145,1048,685,654,948,869,499,524
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",395,344,360,347,395,344,347,360
https://zenodo.org/records/15646539,"""Haase, Robert""",546,458,336,321,484,398,286,299
https://zenodo.org/records/15516022,"""Haase, Robert""",2114,1998,516,494,1626,1531,423,443
https://zenodo.org/records/17669681,"""Haase, Robert""",177,159,267,252,177,159,252,267
https://zenodo.org/records/17163932,"""Achkar, Pierre and Gollub, Tim and Potthast, Martin""",374,341,593,537,374,341,537,593
https://zenodo.org/records/16890132,"""Schröder, Christopher and Müller, Lydia and Niekler, Andreas and Potthast, Martin""",960,949,4150,4003,61,57,809,850
https://zenodo.org/records/15347992,"""Heineking, Sebastian and Zelch, Ines and Potthast, Martin and Hagen, Matthias""",2547,2502,1879,1757,896,887,708,757
https://zenodo.org/records/15270283,"""Heineking, Sebastian and Zelch, Ines and Bevendorff, Janek and Stein, Benno and Hagen, Matthias and Potthast, Martin""",4751,4605,2525,2139,2794,2761,806,1062
https://zenodo.org/records/13860524,"""Gienapp, Lukas and Potthast, Martin and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5807,4694,1050,1015,868,863,329,341
https://zenodo.org/records/11203881,"""Deckers, Niklas and Peters, Julia and Potthast, Martin""",163,114,639,593,132,83,398,428
https://zenodo.org/records/10628882,"""Akiki, Christopher and Barschel, Hanno and Elstner, Theresa and Fleisch, Till and Franke, Johannes and Fröbe, Maik and Gienapp, Lukas and Gründel, Marlene and Hagen, Matthias and Kucera, Paul and Marschner, Paul and Niederhausen, Tim and Potthast, Martin and Reimer, Jan Heinrich and Scells, Harrisen and Stein, Benno and Weber, Malte and Wild, Dominic""",31776,22756,138,131,31776,22756,131,138
https://zenodo.org/records/10628640,"""Scells, Harrisen and Elstner, Theresa and Fröbe, Maik and Akiki, Christopher and Gienapp, Lukas and Reimer, Jan Heinrich and Hagen, Matthias and Potthast, Martin""",13427,6104,189,186,13427,6104,186,189
https://zenodo.org/records/10036479,"""Wolska, Magdalena and Wiegmann, Matti and Schröder, Christopher and Borchardt, Ole and Stein, Benno and Potthast, Martin""",115,108,562,547,115,108,547,562
https://zenodo.org/records/8383863,"""Matti Wiegmann and Magdalena Wolska and Christopher Schröder and Ole Borchardt and Benno Stein and Martin Potthast""",377,243,1433,1209,56,54,341,376
https://zenodo.org/records/7976807,"""Wiegmann and Wolska and Schröder and Borchardt and Stein and Potthast""",189,163,696,628,187,161,622,690
https://zenodo.org/records/7525482,"""Niklas Deckers and Maik Fröbe and Johannes Kiesel and Gianluca Pandolfo and Christopher Schröder and Benno Stein and Martin Potthast""",318,282,261,249,232,205,172,179
https://zenodo.org/records/6873575,"""Kiesel, Johannes and Potthast, Martin and Stein, Benno""",8131,6620,1561,1491,6517,5103,891,944
https://zenodo.org/records/6873564,"""Potthast, Martin and Gienapp, Lukas and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5956,4404,1373,1301,715,672,734,784
https://zenodo.org/records/6425595,"""Matti Wiegmann and Michael Vöslke and Martin Potthast and Benno Stein""",79,71,592,573,75,68,569,587
https://zenodo.org/records/5575320,"""Gienapp, Lukas and Kircheis, Wolfgang and Sievers, Bjarne and Stein, Benno and Potthast, Martin""",0,0,391,354,0,0,354,391
https://zenodo.org/records/5575285,"""Gienapp, Lukas and Kircheis, Wolfgang and Sievers, Bjarne and Stein, Benno and Potthast, Martin""",581,451,1167,1082,581,451,1082,1167
https://zenodo.org/records/5495793,"""Erik Körner and Ahmad Dawar Hakimi and Gerhard Heyer and Martin Potthast""",80,75,500,479,80,75,478,499
https://zenodo.org/records/5380989,"""Gregor Wiedemann and Erik Körner and Ahmad Dawar Hakimi and Gerhard Heyer and Martin Potthast""",217,201,530,498,217,201,498,530
https://zenodo.org/records/5282635,"""Ahmad Dawar Hakimi and Erik Körner and Gregor Wiedemann and Gerhard Heyer and Martin Potthast""",118,116,515,486,117,115,484,513
https://zenodo.org/records/4108196,"""Lars Meyer and Johannes Kiesel and Martin Potthast and Benno Stein""",239,229,330,313,239,229,313,330
https://zenodo.org/records/4064019,"""Kiesel, Johannes and Potthast, Martin and Hagen, Matthias and Kneist, Florian and Stein, Benno""",823185,408032,3195,2992,9398,4197,1127,1224
https://zenodo.org/records/3766985,"""Janek Bevendorff and Khalid Al-Khatib and Martin Potthast and Benno Stein""",956,489,2099,1764,956,489,1761,2096
https://zenodo.org/records/3653834,"""Chen ,Wei-Fan and Syed, Shahbaz and Potthast, Martin and Hagen, Matthias and Stein, Benno""",3218,821,1454,1335,3212,817,1328,1447
https://zenodo.org/records/7520777,"""Mailach, Alina and Siegmund, Norbert""",43,43,378,369,43,43,369,378
https://zenodo.org/records/7745740,"""Sebastian Simon""",92,91,539,531,69,68,494,500
https://zenodo.org/records/19635484,"""Haase, Robert""",32,29,77,75,32,29,75,77
https://zenodo.org/records/19633745,"""Haase, Robert""",40,37,339,337,40,37,337,339
https://zenodo.org/records/19629840,"""Welz, Oliver and Wolf, Gregor""",97,90,131,126,81,74,59,63
https://zenodo.org/records/19246441,"""Höck, Lina Lisa and Haase, Robert""",423,394,392,383,377,352,360,369
https://zenodo.org/records/18958000,"""Welz, Oliver""",37,31,57,50,37,31,50,57
https://zenodo.org/records/18908461,"""Haase, Robert""",292,244,266,255,255,212,222,231
https://zenodo.org/records/18804366,"""Haase, Robert""",190,172,246,239,190,172,239,246
https://zenodo.org/records/18735653,"""Haase, Robert""",154,140,157,154,154,140,154,157
https://zenodo.org/records/18377121,"""Haase, Robert""",1139,1066,602,584,388,339,450,466
https://zenodo.org/records/18283705,"""Nestler, Till and Burghardt, Thomas""",118,116,447,406,118,116,406,447
